target,fold,model,test_start,test_end,n_test,positive_rate,precision,recall,f1,pr_auc
NextVolSpike,16,LogisticRegression,2022-10-03,2022-12-30,882,0.4126984126984127,0.5812395309882747,0.9532967032967034,0.7221644120707597,0.7184902981653082
NextVolSpike,16,LightGBM,2022-10-03,2022-12-30,882,0.4126984126984127,0.5812807881773399,0.9725274725274725,0.7276464542651593,0.7565558997451308
NextVolSpike,16,XGBoost,2022-10-03,2022-12-30,882,0.4126984126984127,0.6081560283687943,0.9423076923076923,0.7392241379310345,0.7674353336865927
NextVolSpike,16,MatchedNaive,2022-10-03,2022-12-30,882,0.4126984126984127,0.8861788617886179,0.8983516483516484,0.8922237380627558,0.9355367414695229
NextVolSpike,16,HAR,2022-10-03,2022-12-30,882,0.4126984126984127,0.888283378746594,0.8956043956043956,0.8919288645690835,0.9319639606011921
NextVolSpike,17,Majority,2023-01-03,2023-04-03,882,0.20634920634920634,0.0,0.0,0.0,
NextVolSpike,17,Persistence,2023-01-03,2023-04-03,882,0.20634920634920634,0.5233644859813084,0.6153846153846154,0.5656565656565656,
NextVolSpike,17,LogisticRegression,2023-01-03,2023-04-03,882,0.20634920634920634,0.4470899470899471,0.9285714285714286,0.6035714285714285,0.6551095118143729
NextVolSpike,17,LightGBM,2023-01-03,2023-04-03,882,0.20634920634920634,0.4201474201474201,0.9395604395604396,0.5806451612903226,0.6943193096212632
NextVolSpike,17,XGBoost,2023-01-03,2023-04-03,882,0.20634920634920634,0.45786516853932585,0.8956043956043956,0.6059479553903345,0.6932281186425391
NextVolSpike,17,MatchedNaive,2023-01-03,2023-04-03,882,0.20634920634920634,0.8287292817679558,0.8241758241758241,0.8264462809917356,0.8877687425004175
NextVolSpike,17,HAR,2023-01-03,2023-04-03,882,0.20634920634920634,0.8361581920903954,0.8131868131868132,0.8245125348189415,0.8760030185584217
NextVolSpike,18,Majority,2023-04-04,2023-07-05,882,0.05442176870748299,0.0,0.0,0.0,
NextVolSpike,18,Persistence,2023-04-04,2023-07-05,882,0.05442176870748299,0.336734693877551,0.6875,0.4520547945205479,
NextVolSpike,18,LogisticRegression,2023-04-04,2023-07-05,882,0.05442176870748299,0.23243243243243245,0.8958333333333334,0.36909871244635195,0.4453095772047721
NextVolSpike,18,LightGBM,2023-04-04,2023-07-05,882,0.05442176870748299,0.2146341463414634,0.9166666666666666,0.34782608695652173,0.431653443367814
NextVolSpike,18,XGBoost,2023-04-04,2023-07-05,882,0.05442176870748299,0.23493975903614459,0.8125,0.3644859813084112,0.46232065467317945
NextVolSpike,18,MatchedNaive,2023-04-04,2023-07-05,882,0.05442176870748299,0.7551020408163265,0.7708333333333334,0.7628865979381443,0.7723283276205986
NextVolSpike,18,HAR,2023-04-04,2023-07-05,882,0.05442176870748299,0.76,0.7916666666666666,0.7755102040816326,0.7724279243792036
